"ID","LACT","PrevDryDAT","FDAT","EASE","wasbred","ai1_DIM","ai1DIM","DIM1aidif","ai1_Date","outcome1AI","ai2","ai3","ai4","ai5","ai6","ai7","ai8","ai9","ai10","tmsbred","days1AItoPREG","PREG","conception_DIM","conceptionDIM","conception_DIMdif","conception_Date","PAI1","Abort_DIM","abort_Date","ABORTO","EPL","gestationDAYS","DIED","Died_DIM","died_Date","INDGST","Indigest_DIM","Indigest_Date","INJURY","Injury_DIM","Injury_Date","KETOSIS","ket_DIM","ket_Date","Lame_diagnosis","lame_DIM","lame_Date","lame","LDA","lda_DIM","lda_Date","MAST","mast_DIM","mast_Date","mast_Remark","MET","met_DIM","met_Date","MFEVER","mfever_DIM","mfever_Date","PYO","PYO_DIM","PYO_Date","PNEU","pneu_DIM","pneu_Date","rtp","RETAINP_DIM","RETAINP_Date","SOLD","sold_DIM","sold_Date","calvBCS","BCS7dim_Date","BCS7dim","BCS14dim_Date","BCS14dim","BCS21dim_Date","BCS21dim","BCS28dim_Date","BCS28dim","BCS35dim_Date","BCS35dim","BCS42dim_Date","BCS42dim","BCS49dim_Date","BCS49dim","BCS56dim_Date","BCS56dim","BCS63dim_Date","BCS63dim","BCS70dim_Date","BCS70dim","BCS77dim_Date","BCS77dim","BCS84dim_Date","BCS84dim","BCS91dim_Date","BCS91dim","BCS100dim_date","BCS100dim","BCSabort","BCSindigest","BCSket","BCSlame","BCSlda","BCSmast","BCSmet","BCSmfever","BCSpyo","BCSpneu","milkavg30","milkavg60","milkavg100","BCS_Date_dryoff","BCS_dryoff","dim_dryoff","nadirDIM","nadirBCS","date_7dafternadir","BCS_7dafternadir","dim_7afternadir","date_14dafternadir","BCS_14dafternadir","dim_14afternadir","date_21dafternadir","BCS_21dafternadir","dim_21afternadir","season","parity","INDGST_nadir","INJURY_nadir","KETOSIS_nadir","lame_nadir","LDA_nadir","MAST_nadir","MET_nadir","MFEVER_nadir","PNEU_nadir","rtp_nadir","PYO_nadir","dyst","REP","META","OTH","health","health_system","HEALTH1","Health_status","BCS_Dry_Calv","BCS_Cal_Nadir","BCS_Nadir_7d","BCS_Nadir_14d","BCS_Nadir_21d","BCS_dry","BCS_calv","BCS_nadir_c","BCS_nadirdim","BCS_Dry_Calv_Cat","BCS_Cal_Nadir_Cat","Q_BCS_7d_afternadir","BCS_Nadir_7d_Cat","Q_BCS_14d_afternadir","BCS_Nadir_14d_Cat","Q_BCS_21d_afternadir","BCS_Nadir_21d_Cat","milk_60","BCS_calv_7dim","BCS_calv_14dim","BCS_calv_21dim","Q_BCS_calv_7dim","Q_BCS_calv_14dim","Q_BCS_calv_21dim","Q_BCS_7dim","Q_BCS_14dim","Q_BCS_21dim","study","GNM","totalmilkproduced305","milkmonth1","milkmonth2","milkmonth3","milkmonth4","milkmonth5","milkmonth6","milkmonth7","milkmonth8","milkmonth9","milkmonth10","Sold_DIM1","sold_Remark","culling_reason","DMI1...195","DMI2...196","DMI3...197","DMI4...198","DMI5...199","DMI6...200","DMI7...201","DMI8...202","DMI9...203","DMI10...204","bcsm1","bcsm2","bcsm3","bcsm4","bcsm5","bcsm6","bcsm7","bcsm8","bcsm9","bcsm10","bcsm11","bcsm12","DMI1...217","DMI2...218","DMI3...219","DMI4...220","DMI5...221","DMI6...222","DMI7...223","DMI8...224","DMI9...225","DMI10...226","nbcs"
1,2,"44153",2021-01-22,1,1,69,69,0,2021-01-04,"O",2021-04-05,"44353","44373","44324","44435","44460","44239","44583",".",9,"173",1,"242",242,0,"44460","A","292","44510","1","1","50",0,NA,NA,1,"5","44223",0,NA,NA,1,"6","44224","Warts","92","44310",1,0,NA,NA,1,"185","43623","NOT A",0,".",".",0,NA,NA,1,"31","44249",0,NA,NA,0,NA,NA,0,".","44658",2.9,"44225","3","44232","3.1","44239","3","44246","3","44253","2.9","44260","2.8","44267","2.7","44274","2.8","44281","2.8","44288","2.7","44295","2.7","44302","2.8","44309","2.8",".",".","3.1","3","3","2.8",NA,"2.8",".",NA,"3",NA,71.11,76.06,89.26,"44153","3.3","-65",47,2.7,"44272","2.8","54","44279","2.8","61","44286","2.7","68","Winter","MP",1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,3,"MUL",3,"mult_events","-0.4",-0.2,"0.1","0.1","0","Q1","Q1","Q1","Q3","Q1","Q4","Q1","Q2","Q1","Q2","Q1","Q1","Q1","0.1","0.2","0.1","Q4","Q4","Q4","Q1","Q1","Q1",1,"0",10551.92883968,32.25492712,43.16835064,46.549425408,44.335442856,43.566604416,42.200385312,42.207642784,39.16540124,36.297339024,36.823505744,"440","CAR4","not_preg","17.304099999999998","19.748899999999999","20.153300000000002","19.810300000000002",".","19.430800000000001","19.4511","18.6281","18.161100000000001","18.646899999999999",3.30256,3.2375,2.78387,2.86486,3.37097,3.10167,3.10008,3.04086,3.13371,3.04444,3.22273,3.24783,"17.304099999999998","19.748899999999999","20.153300000000002","19.810300000000002",".","19.430800000000001","19.4511","18.6281","18.161100000000001","18.646899999999999",2.7
2,3,"43862",2020-02-28,1,1,62,62,0,2020-04-30,"O",2020-03-06,"44007","44246",".",".",".",".",".",".",4,"56",1,"118",118,0,"44007","A","309","44198","1","0","191",0,NA,NA,0,".",".",0,NA,NA,0,".",".","Warts","338","44227",1,0,NA,NA,0,".",".",NA,0,".",".",0,NA,NA,0,".",".",0,NA,NA,0,NA,NA,1,"363","44252",3.4,"43896","3.4","43903","3.2","43910","3.2","43917","3.2","43924","3.2","43931","3.1","43938","3.1","43945","3.1","43952","3.1","43959","3.1","43966","3","43973","3","43980","3.1","43989","3.1","3.5",".",".","3.4",NA,".",".",NA,".",NA,94.01,104.07,106.8,"43832","3.6","-57",37,3,"43933","3.1","44","43940","3.1","51","43947","3.1","58","Winter","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health","-0.2",-0.4,"0.1","0.1","0.1","Q4","Q3","Q3","Q2","Q1","Q3","Q3","Q3","Q3","Q3","Q3","Q2","Q3","0","-0.2","-0.2","Q2","Q2","Q3","Q3","Q2","Q3",1,"0",11975.08281152,42.640369552,51.62103756,50.208552072,50.25118972,47.965993224,44.353132944,39.572273264,35.579302888,32.082108568,29.987874304,"363","CAR4","not_preg","20.5319","22.9725","22.139700000000001","22.0746","21.52","20.547499999999999","19.232900000000001","18.4437","17.79","17.418900000000001",3.52,3.5,3.27333,3.11111,3.10968,3.09136,3.03642,3.1129,3.21186,3.3463,3.48667,3.48226,"20.5319","22.9725","22.139700000000001","22.0746","21.52","20.547499999999999","19.232900000000001","18.4437","17.79","17.418900000000001",3
3,2,"43959",2020-10-08,1,1,60,60,0,2020-07-12,"O",2020-12-31,"44224","44442","44369","44407",".",".",".",".",6,"92",1,"152",152,0,"44264","A","225","44337","1","1","73",0,NA,NA,0,".",".",0,NA,NA,0,".",".","Warts","71","44183",1,0,NA,NA,0,".",".",NA,0,".",".",0,NA,NA,1,"226","44338",0,NA,NA,0,NA,NA,1,"333","44445",3.3,"44119","3.3",".",".","44133","2.9","44140","2.9","44147","2.8","44154","2.8","44161","3","44168","2.9","44175","2.9","44182","3","44189","2.9","44196","3.3","44203","3.1","44212","3.2",".",".",".","3",NA,".",".",NA,".",NA,83.02,92.29,92.74,"44048","3.3","-64",33,2.8,"44152","2.8","40","44159","3","47","44166","2.9","54","Fall","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health","0",-0.5,"0","0.2","0.1","Q1","Q2","Q2","Q2","Q3","Q2","Q1","Q1","Q2","Q4","Q2","Q2","Q2","0",".","-0.4","Q2",NA,"Q1","Q2",NA,"Q1",1,".",9032.80387248,37.658115024,44.773612728,43.997516816,37.018550304,37.395938848,38.328070408,37.12423724,35.859169152,35.661856632,32.029945488,"333","CAR4","not_preg","18.4648","20.192","20.079000000000001","18.8797",".","19.706","19.374300000000002",".",".","17.603100000000001",3.12258,3.02143,3.06452,3.22333,NA,3.39333,3.29839,3.33,NA,3.13125,2.91,2.96129,"18.4648","20.192","20.079000000000001","18.8797",".","19.706","19.374300000000002",".",".","17.603100000000001",2.8
7,2,"44094",2020-11-21,1,1,60,60,0,2021-01-20,"O",2021-02-24,"44271","44304","44337","44370","44393","44294","44433","44455",17,".",0,".",NA,0,".",NA,".",".",".",".",".",0,NA,NA,0,".",".",0,NA,NA,0,".",".",NA,".",".",0,0,NA,NA,0,".",".",NA,0,".",".",0,NA,NA,1,"90","44246",0,NA,NA,0,NA,NA,0,".","44676",3.3,"44163","3.3","44170","3.2","44177","3.1","44184","3","44191","3.2","44198","3.2","44205","3.1","44212","3.2","44219","3.2","44226","3.2","44233","3","44240","3","44247","3","44256","3",".",".",".",".",NA,".",".",NA,"3",NA,103.14,109.58,110.1,"44094","3.4","-62",88,2.9,"44251","3","95","44258","3.1","102","44265","3","109","Fall","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health","-0.1",-0.4,"0.1","0.2","0.1","Q2","Q2","Q2","Q4","Q2","Q3","Q2","Q3","Q3","Q4","Q2","Q2","Q3","0","-0.1","-0.2","Q2","Q3","Q3","Q2","Q2","Q2",1,"0",12436.9029704,46.784386064,52.738234656,50.989183904,48.278971704,50.041630216,48.974781832,49.095437304,49.259637608,49.384829,44.98725456,"520","CAR1","sickness","20.982199999999999","22.2638","21.816199999999998","21.377700000000001",".","21.657299999999999","21.7273","21.901299999999999","22.110700000000001","21.163399999999999",3.26613,3.16964,3.01935,3.08649,3.4,3.19333,3.18028,3.27204,3.35357,3.20645,3.24737,3.22903,"20.982199999999999","22.2638","21.816199999999998","21.377700000000001",".","21.657299999999999","21.7273","21.901299999999999","22.110700000000001","21.163399999999999",2.9
10,3,"43759",2019-12-27,1,1,60,60,0,2020-02-25,"O",2020-03-19,"44139","43969",".",".",".",".",".",".",4,"83",1,"143",143,0,"43969","P",".",".","0","0",".",0,NA,NA,0,".",".",0,NA,NA,0,".",".",NA,".",".",0,0,NA,NA,0,".",".",NA,0,".",".",0,NA,NA,0,".",".",0,NA,NA,0,NA,NA,0,".",".",3.7,"43833","3.7","43840","3.6","43847","3.5",".",".",".",".",".",".",".",".",".",".","43889","3.3","43896","3.3","43903","3.4","43910","3.4","43917","3.4","43926","3.3",".",".",".",".",NA,".",".",NA,".",NA,90.8,102.86,105.68,"43759","3.8","-67",99,3.1,"43932","3.4","106","43939","3.4","113","43946","3.4","120","Winter","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health","-0.1",-0.6,"0.3","0.3","0.3","Q4","Q4","Q4","Q4","Q3","Q1","Q4","Q4","Q4","Q4","Q4","Q4","Q3","0","-0.1","-0.2","Q2","Q2","Q2","Q4","Q4","Q4",1,"0",12799.89450432,41.187060784,52.126339048,51.14023004,47.60674836,46.876011648,46.479118648,43.521698808,42.297454,37.62772436,31.035218232,".",NA,NA,"20.4512","22.7791","22.524699999999999","21.985099999999999","21.8978","21.719200000000001","21.085899999999999","20.918199999999999","19.706900000000001","18.209800000000001",3.64706,3.54667,3.40323,3.34848,3.44677,3.34982,3.36205,3.53231,3.4131,3.55556,3.54667,3.65152,"20.4512","22.7791","22.524699999999999","21.985099999999999","21.8978","21.719200000000001","21.085899999999999","20.918199999999999","19.706900000000001","18.209800000000001",3.1
10,4,"44187",2021-02-18,1,1,60,60,0,2021-04-19,"O",2021-09-06,"44377","44263","44455","44449","44207",".",".",".",7,"16",1,"166",166,0,"44411","A","209","44454","1","1","43",0,NA,NA,1,"124","44369",0,NA,NA,0,".",".",NA,".",".",0,0,NA,NA,1,"105","44350","NOT B",0,".",".",0,NA,NA,1,"90","44335",0,NA,NA,0,NA,NA,1,"287","44532",3.65,"44252","3.7","44259","3.5","44266","3.4","44273","3.6","44280","3.4","44287","3.4","44294","3.3","44301","3.3","44308","3.2","44315","3.2",".",".",".",".",".",".",".",".","3.1","3.1",".",".",NA,"3.2",".",NA,".",NA,74.63,109.09,119.72,".",".",".",60,3.2,"44312","3.2","67",".",".",".",".",".",".","Winter","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health",".",-0.45,"0",".",".",NA,"Q4","Q4","Q3",NA,"Q2","Q4","Q1",NA,NA,NA,NA,"Q3","0.05","-0.15","-0.25","Q4","Q2","Q2","Q4","Q4","Q4",1,"0",10445.2712168,33.852931736,56.277613032,59.219610744,55.966902512,45.303408184,46.84698176,42.924771736,37.381877496,26.010779648,NA,"287","CAR4","not_preg","18.529599999999999","24.494599999999998","24.891500000000001","23.972200000000001","21.485800000000001","21.333600000000001","20.241499999999998","18.969799999999999","15.9481",".",3.64706,3.54667,3.40323,3.34848,3.44677,3.34982,3.36205,3.53231,3.4131,3.55556,3.54667,3.65152,"18.529599999999999","24.494599999999998","24.891500000000001","23.972200000000001","21.485800000000001","21.333600000000001","20.241499999999998","18.969799999999999","15.9481",".",3.2
11,3,"43731",2019-11-22,1,1,83,83,0,2020-02-13,"O",2020-03-21,"43947","44099",".",".",".",".",".",".",4,"73",1,"156",156,0,"43947","A","286","44077","1","0","130",0,NA,NA,1,"3","43794",0,NA,NA,0,".",".","Warts","152","43943",1,0,NA,NA,1,"238","44029","TDY21D",1,"11","43802",0,NA,NA,1,"25","43816",0,NA,NA,0,NA,NA,1,"314","44105",3,"43798","3.2","43805","3.1","43812","2.9","43819","2.7","43826","2.7","43833","2.6","43840","2.6","43847","2.5",".",".",".",".",".",".",".",".",".",".","43891","2.9","3.5","3",".","3",NA,"3.28","3.2",NA,"2.8",NA,80.52,100.15,110.1,"43731","3.6","-60",56,2.5,".",".",".",".",".",".",".",".",".","Fall","MP",1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,"MUL",3,"mult_events","-0.6",-0.5,".",".",".","Q4","Q1","Q1","Q3","Q1","Q2",NA,NA,NA,NA,NA,NA,"Q2","0.2","0.1","-0.1","Q4","Q4","Q3","Q1","Q1","Q1",1,"0",12511.14237304,36.521867064,54.642413872,56.718504456,52.821241992,49.805762376,44.846187448,40.74843732,34.749229528,28.34042816,24.295748296,"314","CAR8","abortion","17.0395","22.343900000000001","23.1007","22.3642","22.016200000000001","21.116900000000001","20.373000000000001","18.974699999999999","17.509899999999998",".",3.11633,3.32353,2.91667,2.95405,3.10484,3.25057,3.32468,3.39462,3.41757,3.28387,3.25128,3.13226,"17.0395","22.343900000000001","23.1007","22.3642","22.016200000000001","21.116900000000001","20.373000000000001","18.974699999999999","17.509899999999998",".",2.5
12,4,"44243",2021-04-22,1,1,73,73,0,2021-04-07,"P",2021-08-15,"44468",".",".",".",".",".",".",".",3,".",1,"73",73,0,"44381","A","114","44422","1","1","41",0,NA,NA,0,".",".",0,NA,NA,1,"5","44313",NA,".",".",0,0,NA,NA,1,"47","44355","NOT A",0,".",".",0,NA,NA,0,".",".",0,NA,NA,0,NA,NA,1,"175","44483",2.95,"44315","3.4",".",".",".",".",".",".",".",".","44350","3","44357","2.9","44364","2.8","44371","2.8","44378","2.9","44385","2.9","44392","3.5","44399","3.1","44408","3",".",".","3.4",".",NA,"2.9",".",NA,".",NA,108.1,109.42,116.29,"44243","3.4","-65",1,2.6,"44316","3.4","8",".",".",".",".",".",".","Spring","MP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HLT",0,"health","-0.45",-0.35,"0.8",".",".","Q2","Q1","Q1","Q1","Q1","Q3","Q4","Q4",NA,NA,NA,NA,"Q3","0.45",".",".","Q4",NA,NA,"Q3",NA,NA,1,"0",8001.10433256,49.034655976,50.35778384,56.0072722,58.745607104,54.911393928,52.209799976,NA,NA,NA,NA,"175","CAR5","injury/s",".",".",".","24.682500000000001",".","22.231999999999999",".",".",".",".",3.39032,3.368,2.97,3.01364,2.89032,2.89885,3.01418,3.02121,3.06429,3.22778,3.2678,3.31429,".",".",".","24.682500000000001",".","22.231999999999999",".",".",".",".",2.6
13,3,"43769",2019-12-26,1,1,60,60,0,2020-02-24,"O",2020-03-20,"44169","43987",".",".",".",".",".",".",4,"72",1,"132",132,0,"43957","P",".",".","0","0",".",0,NA,NA,1,"6","43831",0,NA,NA,1,"6","43831","Warts","262","44087",1,0,NA,NA,0,".",".",NA,1,"6","43831",0,NA,NA,0,".",".",0,NA,NA,0,NA,NA,1,"271","44096",3.5,"43832","3.5","43839","3.4","43846","3.3",".",".",".",".",".",".",".",".",".",".","43888","3.1","43895","3","43902","3.1","43909","3.1","43916","3.1","43925","3.1",".","3.5","3.5","3.5",NA,".","3.5",NA,".",NA,86.65,103.41,112.2,"43769","3.7","-56",97,2.8,"43929","3.1","104","43936","3.3","111","43943","3.2","118","Winter","MP",1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,3,"MUL",3,"mult_events","-0.2",-0.7,"0.3","0.5","0.4","Q4","Q4","Q2","Q4","Q1","Q1","Q3","Q4","Q4","Q4","Q4","Q4","Q3","0","-0.1","-0.2","Q2","Q2","Q2","Q4","Q3","Q3",1,"0",12492.3999516,39.3037468,54.251417568,56.241325672,58.570974184,52.55316912,53.198630536,50.99734856,51.073098424,44.673822488,NA,"271","CAR3","low_prod","19.5076","22.805","23.340299999999999","24.419599999999999","23.059000000000001","23.3278","22.714200000000002","22.907599999999999","21.560300000000002",".",3.47143,3.42647,3.09,3.18919,3.2629,3.35627,3.35714,3.44516,3.49595,3.57419,3.53784,3.5,"19.5076","22.805","23.340299999999999","24.419599999999999","23.059000000000001","23.3278","22.714200000000002","22.907599999999999","21.560300000000002",".",2.8
14,3,"43730",2019-11-19,4,1,83,83,0,2020-10-02,"O",2020-10-04,"43866","44007","44031","44143","44184","44253",".",".",8,"183",1,"266",266,0,"44054","A","373","44161","1","0","107",0,NA,NA,0,".",".",0,NA,NA,0,".",".","Warts","341","44129",1,0,NA,NA,0,".",".",NA,1,"8","43796",0,NA,NA,1,"25","43813",0,NA,NA,1,2,2019-11-21,1,"504","44292",3.1,"43795","3.1","43802","3.1","43809","3","43816","2.9","43823","2.9","43830","2.8","43837","2.6","43844","2.7",".",".",".",".",".",".",".",".",".",".","43888","2.9","3.3",".",".","3.2",NA,".","3.1",NA,"3",NA,52.98,74.43,87.91,"43730","3.1","-58",44,2.6,"43839","2.7","51","43846","2.7","58",".",".",".","Fall","MP",0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,"REP",4,"mult_events","0",-0.5,"0.1","0.1",".","Q1","Q1","Q1","Q2","Q3","Q2","Q1","Q3","Q1","Q3",NA,NA,"Q1","0","0","-0.1","Q2","Q3","Q3","Q1","Q1","Q1",1,"0",11701.4715812,24.030850568,43.826966224,48.406431056,48.102978008,45.315655168,39.495162624,39.506956016,38.561670288,36.72507628,32.205032,"504","CAR4","not_preg","13.946400000000001","19.652200000000001","21.166599999999999","21.302600000000002","20.790299999999998","19.3154","19.211500000000001","18.8431","18.991800000000001","17.8002",3.14082,3.37059,3.03226,2.96486,2.94032,2.96565,2.92094,2.93387,3.11754,3.2,3.24048,3.13226,"13.946400000000001","19.652200000000001","21.166599999999999","21.302600000000002","20.790299999999998","19.3154","19.211500000000001","18.8431","18.991800000000001","17.8002",2.6
